,href,jobs_title,min_price,max_price,currency,company_name,company_url,city
118,https://hh.ru/vacancy/46557279?from=vacancy_search_list&query=python,Инженер-программист (С++),,,,ОАО АЛЕВКУРП,https://hh.ru/employer/889685,Минск
119,https://hh.ru/vacancy/45453807?from=vacancy_search_list&query=python,Senior Data Scientist,,,,ЗАО Научсофт,https://hh.ru/employer/746783,Минск
120,https://hh.ru/vacancy/47003510?from=vacancy_search_list&query=python,Data Analyst,,,,ООО Ридотто,https://hh.ru/employer/5613140,Минск
121,https://hh.ru/vacancy/46892560?from=vacancy_search_list&query=python,C/С++ Software Engineer,,,,ООО Центр Разработки ПИ ЭС ЭЙ,https://hh.ru/employer/557176,Минск
122,https://hh.ru/vacancy/46427881?from=vacancy_search_list&query=python,С++ VoIP Software Engineer,,,,Viber,https://hh.ru/employer/1005038,Минск
123,https://hh.ru/vacancy/46965203?from=vacancy_search_list&query=python,C++ developer / SDK Support Engineer,,,,ООО Бануба Девелопмент,https://hh.ru/employer/2621624,Минск
124,https://hh.ru/vacancy/45610408?from=vacancy_search_list&query=python,DevOps Specialist,,,,ООО Лайфтех,https://hh.ru/employer/4199338,Минск
125,https://hh.ru/vacancy/46863800?from=vacancy_search_list&query=python,DevOps Engineer,,,,Qulix Systems,https://hh.ru/employer/829490,"Минск, Фрунзенская"
126,https://hh.ru/vacancy/42850681?from=vacancy_search_list&query=python,DevOps engineer,,,,Tango Me,https://hh.ru/employer/3266823,Минск
127,https://hh.ru/vacancy/46927627?from=vacancy_search_list&query=python,Automation QA Инженер,4000.0,6000.0,бел. руб.,Белтекс Оптик | Yukon Advanced Optics Worldwide,https://hh.ru/employer/908364,Минск
128,https://hh.ru/vacancy/44969022?from=vacancy_search_list&query=python,QA Automation Engineer (OpenWave),,,,ZiMAD,https://hh.ru/employer/780623,Минск
129,https://hh.ru/vacancy/45464664?from=vacancy_search_list&query=python,Automation QA Engineer,,,,ООО Изибрэйн,https://hh.ru/employer/2509716,"Минск, Молодежная"
130,https://hh.ru/vacancy/46598383?from=vacancy_search_list&query=python,Researcher in Mathematical Modeling and Algorithms,,,,ООО СК хайникс мемори солюшнс Восточная Европа,https://hh.ru/employer/1712281,"Минск, Немига"
131,https://hh.ru/vacancy/46441026?from=vacancy_search_list&query=python,Senior DevOps Engineer,,,,Affise Inc.,https://hh.ru/employer/5000773,Минск
132,https://hh.ru/vacancy/47005817?from=vacancy_search_list&query=python,DevOps Engineer Middle+ (Azure Stack),,,,Айти Эксперт,https://hh.ru/employer/755559,Минск
133,https://hh.ru/vacancy/46064090?from=vacancy_search_list&query=python,Web-разработчик / Full-stack Web-developer (Фулстак разработчик),,4000.0,бел. руб.,ООО Веб Фокус,https://hh.ru/employer/3555596,Минск
134,https://hh.ru/vacancy/46470132?from=vacancy_search_list&query=python,Software developer (C++/Core),,,,ООО Вочи,https://hh.ru/employer/4012555,"Минск, Первомайская и еще 1 "
135,https://hh.ru/vacancy/45964017?from=vacancy_search_list&query=python,Junior Kernel Developer - KernelCare [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
136,https://hh.ru/vacancy/46364657?from=vacancy_search_list&query=python,Workflow Engineer,,,,Syberry CIS,https://hh.ru/employer/1196575,"Минск, Институт Культуры"
137,https://hh.ru/vacancy/44429307?from=vacancy_search_list&query=python,C++ developer,,,,ООО Бануба Девелопмент,https://hh.ru/employer/2621624,"Минск, Немига"
138,https://hh.ru/vacancy/45189465?from=vacancy_search_list&query=python,DevOps Engineer/SRE,,,,ООО Инспекторио Бел,https://hh.ru/employer/4270886,"Минск, Немига"
139,https://hh.ru/vacancy/43147212?from=vacancy_search_list&query=python,Android Developer/ SDK support engineer,,,,ООО Бануба Девелопмент,https://hh.ru/employer/2621624,"Минск, Немига"
140,https://hh.ru/vacancy/46986834?from=vacancy_search_list&query=python,"Преподаватель IT дисциплин в Международную школу программирования ""Алгоритмика""",1500.0,3000.0,бел. руб.,Алгоритмика Б,https://hh.ru/employer/5577009,"Минск, Фрунзенская"
141,https://hh.ru/vacancy/47047532?from=vacancy_search_list&query=python,DBA / Администратор баз данных (PostgreSQL),3000.0,4000.0,бел. руб.,ООО МАКСБИТСОЛЮШЕН,https://hh.ru/employer/4525306,"Минск, Академия наук и еще 1 "
142,https://hh.ru/vacancy/46965194?from=vacancy_search_list&query=python,Web developer,,,,ООО Бануба Девелопмент,https://hh.ru/employer/2621624,Минск
143,https://hh.ru/vacancy/45824673?from=vacancy_search_list&query=python,Product Analyst,,,,BGSoft,https://hh.ru/employer/3313464,Минск
144,https://hh.ru/vacancy/47057450?from=vacancy_search_list&query=python,QA Engineer/Тестировщик,,,,Пари-Матч,https://hh.ru/employer/841116,"Минск, Борисовский тракт"
145,https://hh.ru/vacancy/46720056?from=vacancy_search_list&query=python,Junior QA Performance Engineer,,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
146,https://hh.ru/vacancy/45685555?from=vacancy_search_list&query=python,Rust Developer,2000.0,,USD,TW Global Services SA,https://hh.ru/employer/4441986,Минск
147,https://hh.ru/vacancy/46306349?from=vacancy_search_list&query=python,Системный администратор Linux,,,,hoster.by,https://hh.ru/employer/3701236,Минск
148,https://hh.ru/vacancy/46753757?from=vacancy_search_list&query=python,Middle+ Программист Embedded С/C++,,,,ООО Неро Электроникс,https://hh.ru/employer/227572,Минск
149,https://hh.ru/vacancy/46387983?from=vacancy_search_list&query=python,"Software Engineer (Tools, WoTBlitz)",,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
150,https://hh.ru/vacancy/46510103?from=vacancy_search_list&query=python,Back-end Developer (Platform Team),,,,Gismart,https://hh.ru/employer/2389722,Минск
151,https://hh.ru/vacancy/45958853?from=vacancy_search_list&query=python,Senior Go Developer for Kubernetes [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
152,https://hh.ru/vacancy/46099033?from=vacancy_search_list&query=python,Senior QA Engineer,,,,ООО Инспекторио Бел,https://hh.ru/employer/4270886,"Минск, Немига"
153,https://hh.ru/vacancy/45545162?from=vacancy_search_list&query=python,Senior C++ Developer,,,,ООО G5 Entertainment AB,https://hh.ru/employer/1544241,Минск
154,https://hh.ru/vacancy/46261073?from=vacancy_search_list&query=python,Java Backend Developer (Senior),,,,SaM Solutions Самсолюшнс,https://hh.ru/employer/745670,Минск
155,https://hh.ru/vacancy/45537546?from=vacancy_search_list&query=python,QA Engineer,,,,ООО Инспекторио Бел,https://hh.ru/employer/4270886,Минск
156,https://hh.ru/vacancy/47014828?from=vacancy_search_list&query=python,Embedded Software Engineer,,,,Softeq Development,https://hh.ru/employer/633793,"Минск, Пушкинская"
157,https://hh.ru/vacancy/44253869?from=vacancy_search_list&query=python,QA Performance Engineer,,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
158,https://hh.ru/vacancy/46113480?from=vacancy_search_list&query=python,"Senior Programmer, Game (C++)/Ведущий программист C++",,,,Playrix,https://hh.ru/employer/114448,Минск
159,https://hh.ru/vacancy/46809439?from=vacancy_search_list&query=python,Middle/Senior Go developer for network security project,,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
160,https://hh.ru/vacancy/46377967?from=vacancy_search_list&query=python,CI/CD Engineer,,,,Skywind Group,https://hh.ru/employer/741904,"Минск, Петровщина"
161,https://hh.ru/vacancy/42702891?from=vacancy_search_list&query=python,Embedded Software Engineer,1600.0,2900.0,EUR,ООО НАВИГАЦИОННЫЕ СИСТЕМЫ И РЕШЕНИЯ,https://hh.ru/employer/2431582,Минск
162,https://hh.ru/vacancy/46798309?from=vacancy_search_list&query=python,Junior+/Middle Developer,500.0,1200.0,USD,ЮМАСОФТ,https://hh.ru/employer/1135351,"Минск, Грушевка"
163,https://hh.ru/vacancy/47041839?from=vacancy_search_list&query=python,Software Engineer (Backend),,,,ZiMAD,https://hh.ru/employer/780623,Минск
164,https://hh.ru/vacancy/46297592?from=vacancy_search_list&query=python,"Системный администратор Linux/(Helpdesk, Level 2).",,,,ActiveCloud,https://hh.ru/employer/606211,Минск
165,https://hh.ru/vacancy/47056393?from=vacancy_search_list&query=python,Packaging Engineer for AlmaLinux,,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
166,https://hh.ru/vacancy/45151611?from=vacancy_search_list&query=python,Junior Frontend Developer,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
